State,Region
Alabama,Southeast
Alaska,West
Arizona,West
Arkansas,Southwest
California,West
Colorado,Mountain-Plains
Connecticut,Northeast
Delaware,Mid-Atlantic
District of Columbia,Mid-Atlantic
Florida,Southeast
Georgia,Southeast
Hawaii,West
Idaho,West
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Mountain-Plains
Kentucky,Southeast
Louisiana,Southwest
Maine,Northeast
Maryland,Mid-Atlantic
Massachusetts,Northeast
Michigan,Midwest
Minnesota,Midwest
Mississippi,Southeast
Missouri,Mountain-Plains
Montana,Mountain-Plains
Nebraska,Midwest
Nevada,West
New Hampshire,Northeast
New Jersey,Mid-Atlantic
New Mexico,Southwest
New York,Northeast
North Carolina,Southeast
North Dakota,Midwest
Ohio,Midwest
Oklahoma,Southwest
Oregon,West
Pennsylvania,Mid-Atlantic
Rhode Island,Northeast
South Carolina,Southeast
South Dakota,Midwest
Tennessee,Southeast
Texas,Southwest
Utah,Mountain-Plains
Vermont,Northeast
Virginia,Mid-Atlantic
Washington,West
West Virginia,Mid-Atlantic
Wisconsin,Midwest
Wyoming,Mountain-Plains